x   host1          host2 
139 3.99 GBytes 34.3 Gbits/sec       3.91 GBytes 33.6 Gbits/sec
140 3.78 GBytes 32.4 Gbits/sec       4.1 GBytes 35.2 Gbits/sec
141 3.65 GBytes 31.4 Gbits/sec       3.98 GBytes 34.2 Gbits/sec
142 3.54 GBytes 30.4 Gbits/sec       3.7 GBytes 31.8 Gbits/sec
143 3.9 GBytes 33.5 Gbits/sec       4.17 GBytes 35.8 Gbits/sec
144 4.08 GBytes 35.1 Gbits/sec       4.24 GBytes 36.5 Gbits/sec
145 4.21 GBytes 36.2 Gbits/sec       4.35 GBytes 37.4 Gbits/sec
146 3.67 GBytes 31.5 Gbits/sec       3.62 GBytes 31.1 Gbits/sec
147 4.57 GBytes 39.3 Gbits/sec       3.83 GBytes 32.9 Gbits/sec
148 4.1 GBytes 35.2 Gbits/sec       4.36 GBytes 37.4 Gbits/sec
149 4.2 GBytes 36.1 Gbits/sec       4.31 GBytes 37 Gbits/sec
150 4.34 GBytes 37.3 Gbits/sec       4.04 GBytes 34.7 Gbits/sec
151 4.48 GBytes 38.5 Gbits/sec       3.2 GBytes 27.5 Gbits/sec
152 3.86 GBytes 33.1 Gbits/sec       4.66 GBytes 40 Gbits/sec
153 4.02 GBytes 34.5 Gbits/sec       4.18 GBytes 35.9 Gbits/sec
154 4.24 GBytes 36.4 Gbits/sec       4.33 GBytes 37.2 Gbits/sec
155 3.97 GBytes 34.1 Gbits/sec       3.99 GBytes 34.3 Gbits/sec
156 3.83 GBytes 32.9 Gbits/sec       4.62 GBytes 39.7 Gbits/sec
157 3.88 GBytes 33.4 Gbits/sec       4.64 GBytes 39.8 Gbits/sec
158 3.67 GBytes 31.6 Gbits/sec       4.3 GBytes 36.9 Gbits/sec
159 3.8 GBytes 32.7 Gbits/sec       4.42 GBytes 38 Gbits/sec
160 4.61 GBytes 39.6 Gbits/sec       3.44 GBytes 29.6 Gbits/sec
161 3.06 GBytes 26.2 Gbits/sec       3.45 GBytes 29.7 Gbits/sec
162 3.4 GBytes 29.2 Gbits/sec       3.8 GBytes 32.6 Gbits/sec
163 3.88 GBytes 33.3 Gbits/sec       3.69 GBytes 31.7 Gbits/sec
164 4.66 GBytes 40.1 Gbits/sec       3.86 GBytes 33.1 Gbits/sec
165 4.49 GBytes 38.5 Gbits/sec       3.37 GBytes 29 Gbits/sec
166 3.44 GBytes 29.6 Gbits/sec       3.84 GBytes 33 Gbits/sec
167 4.25 GBytes 36.5 Gbits/sec       4.03 GBytes 34.6 Gbits/sec
168 4.12 GBytes 35.4 Gbits/sec       4.53 GBytes 38.9 Gbits/sec
169 3.75 GBytes 32.2 Gbits/sec       4.52 GBytes 38.8 Gbits/sec
